2023-11-15_13-08-37-+0000 {"e":"aggTrade","E":1700053716148,"a":1421458485,"s":"ETHUSDT","p":"2016.58","q":"2.786","f":3361695424,"l":3361695424,"T":1700053716007,"m":true}
2023-11-15_13-08-37-+0000 {"e":"aggTrade","E":1700053716299,"a":1421458486,"s":"ETHUSDT","p":"2016.58","q":"0.168","f":3361695425,"l":3361695425,"T":1700053716147,"m":true}
2023-11-15_13-08-37-+0000 {"e":"aggTrade","E":1700053716378,"a":1421458487,"s":"ETHUSDT","p":"2016.59","q":"0.084","f":3361695426,"l":3361695426,"T":1700053716342,"m":false}
2023-11-15_13-08-37-+0000 {"e":"aggTrade","E":1700053716529,"a":1421458488,"s":"ETHUSDT","p":"2016.58","q":"5.000","f":3361695427,"l":3361695436,"T":1700053716376,"m":true}
2023-11-15_13-08-37-+0000 {"e":"aggTrade","E":1700053716778,"a":1421458489,"s":"ETHUSDT","p":"2016.58","q":"1.698","f":3361695437,"l":3361695441,"T":1700053716625,"m":true}
2023-11-15_13-08-37-+0000 {"e":"aggTrade","E":1700053717037,"a":1421458490,"s":"ETHUSDT","p":"2016.58","q":"1.755","f":3361695442,"l":3361695442,"T":1700053716951,"m":true}
2023-11-15_13-08-38-+0000 {"e":"aggTrade","E":1700053717188,"a":1421458491,"s":"ETHUSDT","p":"2016.59","q":"0.024","f":3361695443,"l":3361695443,"T":1700053717035,"m":false}
2023-11-15_13-08-38-+0000 {"e":"aggTrade","E":1700053717404,"a":1421458492,"s":"ETHUSDT","p":"2016.58","q":"0.024","f":3361695444,"l":3361695444,"T":1700053717251,"m":true}
2023-11-15_13-08-38-+0000 {"e":"aggTrade","E":1700053717787,"a":1421458493,"s":"ETHUSDT","p":"2016.58","q":"0.326","f":3361695445,"l":3361695445,"T":1700053717635,"m":true}
2023-11-15_13-08-38-+0000 {"e":"aggTrade","E":1700053718074,"a":1421458494,"s":"ETHUSDT","p":"2016.59","q":"8.583","f":3361695446,"l":3361695459,"T":1700053718072,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718094,"a":1421458496,"s":"ETHUSDT","p":"2016.64","q":"0.416","f":3361695462,"l":3361695474,"T":1700053718088,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718094,"a":1421458497,"s":"ETHUSDT","p":"2016.66","q":"1.105","f":3361695475,"l":3361695475,"T":1700053718090,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718094,"a":1421458498,"s":"ETHUSDT","p":"2016.68","q":"0.015","f":3361695476,"l":3361695476,"T":1700053718090,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718094,"a":1421458499,"s":"ETHUSDT","p":"2016.70","q":"1.118","f":3361695477,"l":3361695478,"T":1700053718090,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718182,"a":1421458500,"s":"ETHUSDT","p":"2016.74","q":"0.208","f":3361695479,"l":3361695479,"T":1700053718090,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718182,"a":1421458501,"s":"ETHUSDT","p":"2016.79","q":"0.172","f":3361695480,"l":3361695481,"T":1700053718179,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718414,"a":1421458503,"s":"ETHUSDT","p":"2016.84","q":"0.385","f":3361695484,"l":3361695496,"T":1700053718261,"m":false}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718646,"a":1421458504,"s":"ETHUSDT","p":"2016.87","q":"6.126","f":3361695497,"l":3361695499,"T":1700053718493,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718806,"a":1421458505,"s":"ETHUSDT","p":"2016.87","q":"0.602","f":3361695500,"l":3361695501,"T":1700053718804,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718815,"a":1421458506,"s":"ETHUSDT","p":"2016.79","q":"0.015","f":3361695502,"l":3361695502,"T":1700053718804,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718854,"a":1421458507,"s":"ETHUSDT","p":"2016.77","q":"0.020","f":3361695503,"l":3361695504,"T":1700053718814,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718847,"a":1916835969,"s":"BTCUSDT","p":"36180.40","q":"0.776","f":4291587837,"l":4291587839,"T":1700053718845,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718847,"a":1916835970,"s":"BTCUSDT","p":"36180.00","q":"2.012","f":4291587840,"l":4291587844,"T":1700053718845,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718854,"a":1421458508,"s":"ETHUSDT","p":"2016.75","q":"0.406","f":3361695505,"l":3361695507,"T":1700053718851,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718847,"a":1916835971,"s":"BTCUSDT","p":"36179.40","q":"0.003","f":4291587845,"l":4291587845,"T":1700053718845,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718854,"a":1421458509,"s":"ETHUSDT","p":"2016.70","q":"0.163","f":3361695508,"l":3361695509,"T":1700053718851,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053718854,"a":1421458510,"s":"ETHUSDT","p":"2016.69","q":"0.010","f":3361695510,"l":3361695510,"T":1700053718851,"m":true}
2023-11-15_13-08-39-+0000 {"e":"aggTrade","E":1700053719074,"a":1421458514,"s":"ETHUSDT","p":"2016.59","q":"3.094","f":3361695516,"l":3361695516,"T":1700053718922,"m":true}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719660,"a":1421458515,"s":"ETHUSDT","p":"2016.59","q":"0.945","f":3361695517,"l":3361695520,"T":1700053719508,"m":true}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719751,"a":1421458516,"s":"ETHUSDT","p":"2016.60","q":"2.754","f":3361695521,"l":3361695521,"T":1700053719730,"m":false}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719788,"a":1421458517,"s":"ETHUSDT","p":"2016.59","q":"5.032","f":3361695522,"l":3361695532,"T":1700053719749,"m":true}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719789,"a":1421458518,"s":"ETHUSDT","p":"2016.58","q":"2.414","f":3361695533,"l":3361695547,"T":1700053719786,"m":true}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719789,"a":1421458519,"s":"ETHUSDT","p":"2016.56","q":"0.512","f":3361695548,"l":3361695550,"T":1700053719786,"m":true}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719811,"a":1421458520,"s":"ETHUSDT","p":"2016.55","q":"1.232","f":3361695551,"l":3361695552,"T":1700053719786,"m":true}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719812,"a":1421458521,"s":"ETHUSDT","p":"2016.54","q":"3.063","f":3361695553,"l":3361695558,"T":1700053719809,"m":true}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719963,"a":1916836015,"s":"BTCUSDT","p":"36174.70","q":"0.822","f":4291587957,"l":4291587964,"T":1700053719810,"m":false}
2023-11-15_13-08-40-+0000 {"e":"aggTrade","E":1700053719963,"a":1421458522,"s":"ETHUSDT","p":"2016.53","q":"0.079","f":3361695559,"l":3361695560,"T":1700053719809,"m":true}
2023-11-15_13-08-41-+0000 {"e":"aggTrade","E":1700053720176,"a":1421458523,"s":"ETHUSDT","p":"2016.52","q":"1.326","f":3361695561,"l":3361695564,"T":1700053720024,"m":true}
2023-11-15_13-08-41-+0000 {"e":"aggTrade","E":1700053720350,"a":1421458524,"s":"ETHUSDT","p":"2016.53","q":"0.493","f":3361695565,"l":3361695565,"T":1700053720326,"m":false}
2023-11-15_13-08-41-+0000 {"e":"aggTrade","E":1700053720489,"a":1421458525,"s":"ETHUSDT","p":"2016.52","q":"0.053","f":3361695566,"l":3361695566,"T":1700053720348,"m":true}
2023-11-15_13-08-41-+0000 {"e":"aggTrade","E":1700053720640,"a":1421458526,"s":"ETHUSDT","p":"2016.52","q":"0.092","f":3361695567,"l":3361695567,"T":1700053720488,"m":true}
