2023-11-07 00:13:53,523 - INFO - {'e': '24hrTicker', 'E': 1699296233265, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96143895', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.01158000', 'b': '34913.66000000', 'B': '3.60490000', 'a': '34913.67000000', 'A': '2.17136000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.96042000', 'q': '892071161.89917550', 'O': 1699209833264, 'C': 1699296233264, 'F': 3269483785, 'L': 3270573572, 'n': 1089788}
2023-11-07 00:13:55,546 - INFO - {'e': '24hrTicker', 'E': 1699296234579, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96138578', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.01827000', 'b': '34913.66000000', 'B': '3.61367000', 'a': '34913.67000000', 'A': '1.99192000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.91393000', 'q': '892069533.53511640', 'O': 1699209834579, 'C': 1699296234579, 'F': 3269483797, 'L': 3270573576, 'n': 1089780}
2023-11-07 00:13:55,546 - INFO - {'e': '24hrTicker', 'E': 1699296234579, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96138578', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.01827000', 'b': '34913.66000000', 'B': '3.61367000', 'a': '34913.67000000', 'A': '1.99192000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.91393000', 'q': '892069533.53511640', 'O': 1699209834579, 'C': 1699296234579, 'F': 3269483797, 'L': 3270573576, 'n': 1089780}
2023-11-07 00:13:57,566 - INFO - {'e': '24hrTicker', 'E': 1699296236569, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96136203', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.01909000', 'b': '34913.66000000', 'B': '3.78952000', 'a': '34913.67000000', 'A': '1.48479000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.87894000', 'q': '892068308.38599820', 'O': 1699209836569, 'C': 1699296236569, 'F': 3269483804, 'L': 3270573577, 'n': 1089774}
2023-11-07 00:13:57,566 - INFO - {'e': '24hrTicker', 'E': 1699296236569, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96136203', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.01909000', 'b': '34913.66000000', 'B': '3.78952000', 'a': '34913.67000000', 'A': '1.48479000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25489.87894000', 'q': '892068308.38599820', 'O': 1699209836569, 'C': 1699296236569, 'F': 3269483804, 'L': 3270573577, 'n': 1089774}
2023-11-07 00:13:59,603 - INFO - {'e': '24hrTicker', 'E': 1699296239256, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96070696', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.18736000', 'b': '34913.66000000', 'B': '3.81972000', 'a': '34913.67000000', 'A': '0.38676000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.05529000', 'q': '892074463.40244090', 'O': 1699209839256, 'C': 1699296239256, 'F': 3269483814, 'L': 3270573589, 'n': 1089776}
2023-11-07 00:13:59,603 - INFO - {'e': '24hrTicker', 'E': 1699296239256, 's': 'BTCUSDT', 'p': '-98.30000000', 'P': '-0.281', 'w': '34996.96070696', 'x': '35011.97000000', 'c': '34913.67000000', 'Q': '0.18736000', 'b': '34913.66000000', 'B': '3.81972000', 'a': '34913.67000000', 'A': '0.38676000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.05529000', 'q': '892074463.40244090', 'O': 1699209839256, 'C': 1699296239256, 'F': 3269483814, 'L': 3270573589, 'n': 1089776}
2023-11-07 00:14:01,653 - INFO - {'e': '24hrTicker', 'E': 1699296241236, 's': 'BTCUSDT', 'p': '-95.16000000', 'P': '-0.272', 'w': '34996.95561049', 'x': '35011.97000000', 'c': '34916.81000000', 'Q': '0.19369000', 'b': '34916.84000000', 'B': '3.29827000', 'a': '34916.85000000', 'A': '0.00070000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25491.51531000', 'q': '892125429.74818350', 'O': 1699209841236, 'C': 1699296241236, 'F': 3269483863, 'L': 3270573684, 'n': 1089822}
2023-11-07 00:14:01,662 - INFO - {'e': '24hrTicker', 'E': 1699296241236, 's': 'BTCUSDT', 'p': '-95.16000000', 'P': '-0.272', 'w': '34996.95561049', 'x': '35011.97000000', 'c': '34916.81000000', 'Q': '0.19369000', 'b': '34916.84000000', 'B': '3.29827000', 'a': '34916.85000000', 'A': '0.00070000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25491.51531000', 'q': '892125429.74818350', 'O': 1699209841236, 'C': 1699296241236, 'F': 3269483863, 'L': 3270573684, 'n': 1089822}
2023-11-07 00:14:03,699 - INFO - {'e': '24hrTicker', 'E': 1699296243278, 's': 'BTCUSDT', 'p': '-91.33000000', 'P': '-0.261', 'w': '34996.95205709', 'x': '35011.96000000', 'c': '34920.64000000', 'Q': '0.00387000', 'b': '34920.64000000', 'B': '3.10641000', 'a': '34920.65000000', 'A': '0.00204000', 'o': '35011.97000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25492.22508000', 'q': '892150178.95328170', 'O': 1699209843277, 'C': 1699296243277, 'F': 3269483887, 'L': 3270573777, 'n': 1089891}
