2023-10-25 17:09:18,135 - INFO - {'e': 'aggTrade', 'E': 1698233958720, 's': 'ETHUSDT', 'a': 947962724, 'p': '1786.05000000', 'q': '0.08780000', 'f': 1216858360, 'l': 1216858360, 'T': 1698233958719, 'm': True, 'M': True}
2023-10-25 17:09:20,202 - INFO - {'e': 'aggTrade', 'E': 1698233961043, 's': 'BTCUSDT', 'a': 2738159444, 'p': '34283.15000000', 'q': '0.00069000', 'f': 3256542121, 'l': 3256542121, 'T': 1698233961043, 'm': True, 'M': True}
2023-10-25 17:09:20,202 - INFO - {'e': 'aggTrade', 'E': 1698233961043, 's': 'BTCUSDT', 'a': 2738159444, 'p': '34283.15000000', 'q': '0.00069000', 'f': 3256542121, 'l': 3256542121, 'T': 1698233961043, 'm': True, 'M': True}
2023-10-25 17:09:22,265 - INFO - {'e': 'aggTrade', 'E': 1698233963108, 's': 'BTCUSDT', 'a': 2738159485, 'p': '34283.16000000', 'q': '0.00070000', 'f': 3256542165, 'l': 3256542165, 'T': 1698233963107, 'm': False, 'M': True}
2023-10-25 17:09:22,265 - INFO - {'e': 'aggTrade', 'E': 1698233963108, 's': 'BTCUSDT', 'a': 2738159485, 'p': '34283.16000000', 'q': '0.00070000', 'f': 3256542165, 'l': 3256542165, 'T': 1698233963107, 'm': False, 'M': True}
2023-10-25 17:09:24,331 - INFO - {'e': 'aggTrade', 'E': 1698233965180, 's': 'BTCUSDT', 'a': 2738159505, 'p': '34283.16000000', 'q': '0.00030000', 'f': 3256542188, 'l': 3256542188, 'T': 1698233965179, 'm': False, 'M': True}
2023-10-25 17:09:24,331 - INFO - {'e': 'aggTrade', 'E': 1698233965180, 's': 'BTCUSDT', 'a': 2738159505, 'p': '34283.16000000', 'q': '0.00030000', 'f': 3256542188, 'l': 3256542188, 'T': 1698233965179, 'm': False, 'M': True}
2023-10-25 17:09:26,363 - INFO - {'e': 'aggTrade', 'E': 1698233966973, 's': 'XRPUSDT', 'a': 396879351, 'p': '0.55130000', 'q': '10000.00000000', 'f': 559063737, 'l': 559063744, 'T': 1698233966972, 'm': True, 'M': True}
2023-10-25 17:09:26,365 - INFO - {'e': 'aggTrade', 'E': 1698233966973, 's': 'XRPUSDT', 'a': 396879351, 'p': '0.55130000', 'q': '10000.00000000', 'f': 559063737, 'l': 559063744, 'T': 1698233966972, 'm': True, 'M': True}
2023-10-25 17:09:28,414 - INFO - {'e': 'aggTrade', 'E': 1698233969169, 's': 'BTCUSDT', 'a': 2738159547, 'p': '34279.80000000', 'q': '0.00109000', 'f': 3256542252, 'l': 3256542252, 'T': 1698233969168, 'm': True, 'M': True}
